date,value
5-1-23 | 00:00,1000
6-1-23 | 07:00,20.673
10-1-23 | 13:00,3.061
17-1-23 | 00:00,19.902
17-1-23 | 23:00,-3.405
24-1-23 | 20:00,19.643
27-1-23 | 10:00,-6.705
29-1-23 | 01:00,-3.291
30-1-23 | 13:00,-7.755
5-2-23 | 16:00,-3.812
9-2-23 | 17:00,-1.043
13-2-23 | 08:00,-4.588
17-2-23 | 11:00,8.62
21-2-23 | 16:00,0.477
24-2-23 | 00:00,-1.598
28-2-23 | 07:00,-3.343
2-3-23 | 09:00,-2.606
7-3-23 | 13:00,-2.92
15-3-23 | 19:00,6.545
19-3-23 | 12:00,4.481
22-3-23 | 21:00,-6.072
25-3-23 | 01:00,-3.033
27-3-23 | 09:00,-1.788
30-3-23 | 23:00,0.89
2-4-23 | 15:00,-3.848
6-4-23 | 10:00,0.256
8-4-23 | 00:00,-1.14
8-4-23 | 22:00,-1.944
15-4-23 | 03:00,9.945
17-4-23 | 08:00,-2.668
19-4-23 | 11:00,-6.151
27-4-23 | 09:00,-3.582
29-4-23 | 01:00,0.418
1-5-23 | 07:00,-0.624
5-5-23 | 07:00,-1.964
11-5-23 | 12:00,-2.076
16-5-23 | 05:00,0.487
18-5-23 | 22:00,0.06
24-5-23 | 09:00,-2.796
29-5-23 | 21:00,2.652
5-6-23 | 15:00,-4.315
12-6-23 | 15:00,-0.997
14-6-23 | 06:00,-1.893
19-6-23 | 04:00,2.833
23-6-23 | 08:00,8.914
26-6-23 | 02:00,-1.865
27-6-23 | 19:00,-5.277
3-7-23 | 23:00,9.391
8-7-23 | 04:00,0.149
9-7-23 | 18:00,-2.701
13-7-23 | 08:00,-0.968
15-7-23 | 18:00,5.634
18-7-23 | 20:00,-0.745
20-7-23 | 01:00,-1.853
21-7-23 | 13:00,-0.533
31-7-23 | 00:00,2.913
31-7-23 | 06:00,-1.201
3-8-23 | 16:00,-2.199
7-8-23 | 01:00,-0.658
10-8-23 | 02:00,-1.683
14-8-23 | 20:00,-1.328
21-8-23 | 12:00,-2.144
25-8-23 | 02:00,1.536
27-8-23 | 17:00,-2.158
31-8-23 | 01:00,0.676
5-9-23 | 03:00,-0.709
6-9-23 | 10:00,-0.619
6-9-23 | 22:00,-0.527
10-9-23 | 15:00,0.441
17-9-23 | 08:00,1.738
20-9-23 | 20:00,0.812
22-9-23 | 14:00,-2.539
2-10-23 | 22:00,1.734
5-10-23 | 21:00,-2.627
8-10-23 | 04:00,-0.275
17-10-23 | 15:00,0.297
29-10-23 | 06:00,20.159
3-11-23 | 18:00,17.266
6-11-23 | 22:00,4.393
10-11-23 | 01:00,-1.61
14-11-23 | 02:00,0.318
18-11-23 | 07:00,0.058
21-11-23 | 11:00,5.301
26-11-23 | 22:00,-1.453
7-12-23 | 17:00,26.97
10-12-23 | 17:00,0.968
15-12-23 | 13:00,-2.852
18-12-23 | 02:00,-5.985
23-12-23 | 05:00,37.694
27-12-23 | 11:00,12.947
1-1-24 | 10:00,-3.347
3-1-24 | 15:00,-6.761
5-1-24 | 17:00,-7.22
7-1-24 | 13:00,1.276
10-1-24 | 00:00,-5.606
12-1-24 | 19:00,0.643
15-1-24 | 02:00,1.252
18-1-24 | 17:00,-6.832
22-1-24 | 05:00,-3.225
29-1-24 | 06:00,9.725
31-1-24 | 12:00,-3.988
3-2-24 | 16:00,-0.526
14-2-24 | 03:00,15.092
16-2-24 | 19:00,-3.767
20-2-24 | 07:00,3.746
28-2-24 | 05:00,16.796
5-3-24 | 05:00,10.797
8-3-24 | 14:00,1.902
10-3-24 | 22:00,-3.541
15-3-24 | 17:00,2.214
18-3-24 | 22:00,-13.234
22-3-24 | 03:00,-5.233
24-3-24 | 17:00,-2.783
27-3-24 | 11:00,10.313
1-4-24 | 10:00,-5.072
7-4-24 | 05:00,3.845
10-4-24 | 03:00,-6.741
16-4-24 | 02:00,-10.351
24-4-24 | 07:00,26.391
27-4-24 | 08:00,-6.692
29-4-24 | 03:00,-8.323
8-5-24 | 05:00,14.203
11-5-24 | 06:00,-0.389
15-5-24 | 01:00,-2.49
18-5-24 | 03:00,2.947
21-5-24 | 23:00,-0.875
23-5-24 | 18:00,-4.769
26-5-24 | 21:00,-1.865
3-6-24 | 02:00,-1.866
6-6-24 | 18:00,-0.283
13-6-24 | 15:00,-5.928
17-6-24 | 07:00,-5.644
22-6-24 | 18:00,4.624
24-6-24 | 03:00,-1.174
26-6-24 | 10:00,0.057
3-7-24 | 15:00,-0.85
8-7-24 | 01:00,-9.52
18-7-24 | 03:00,37.367
21-7-24 | 08:00,-3.69
22-7-24 | 16:00,-0.634
28-7-24 | 07:00,-3.679
8-8-24 | 00:00,-5.195
11-8-24 | 20:00,-0.896
15-8-24 | 06:00,0.172
19-8-24 | 05:00,-2.462
26-8-24 | 00:00,19.888
3-9-24 | 16:00,-6.547
5-9-24 | 22:00,-2.459
11-9-24 | 12:00,8.72
14-9-24 | 17:00,1.593
20-9-24 | 23:00,3.934
25-9-24 | 22:00,13.93
28-9-24 | 02:00,1.197
30-9-24 | 00:00,-1.286
1-10-24 | 13:00,-3.617
6-10-24 | 03:00,0.169
8-10-24 | 15:00,1.749
13-10-24 | 13:00,-0.505
16-10-24 | 13:00,-1.188
20-10-24 | 00:00,-1.969
22-10-24 | 01:00,-3.213
25-10-24 | 15:00,-3.391
28-10-24 | 16:00,-5.04
30-10-24 | 17:00,-1.746
13-11-24 | 01:00,42.571
14-11-24 | 10:00,-3.117
17-11-24 | 22:00,4.326
19-11-24 | 19:00,-2.206
26-11-24 | 05:00,13.921
1-12-24 | 16:00,3.222
7-12-24 | 16:00,7.224
13-12-24 | 13:00,1.515
16-12-24 | 23:00,-4.997
22-12-24 | 02:00,-8.407
25-12-24 | 23:00,7.288
BINANCE:NEARUSDT,1H
new,[20 : 52 | SMA | Close] [220.256]
